"";"Var.1";"X1..N.145.";"X2..N.387.";"X3..N.157.";"X4..N.156.";"X5..N.190.";"Total..N.1035.";"p.value"
"49";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";""
"50";"**age**";"";"";"";"";"";"";"0.650"
"51";"&nbsp;&nbsp;&nbsp;Mean (SD)";"202.910 (12.641)";"201.783 (13.429)";"202.325 (13.605)";"203.269 (14.360)";"201.363 (13.708)";"202.170 (13.535)";""
"52";"&nbsp;&nbsp;&nbsp;Range";"180.000 - 233.000";"174.000 - 241.000";"174.000 - 240.000";"177.000 - 239.000";"177.000 - 247.000";"174.000 - 247.000";""
"53";"**math**";"";"";"";"";"";"";"< 0.001"
"54";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.167 (1.013)";"-0.244 (0.870)";"0.566 (1.007)";"0.335 (1.005)";"-0.368 (0.913)";"0.001 (1.000)";""
"55";"&nbsp;&nbsp;&nbsp;Range";"-2.165 - 2.408";"-2.490 - 2.183";"-1.806 - 2.903";"-2.216 - 2.427";"-2.459 - 2.880";"-2.490 - 2.903";""
"56";"**read**";"";"";"";"";"";"";"< 0.001"
"57";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.086 (1.033)";"-0.154 (0.950)";"0.405 (0.959)";"0.264 (0.998)";"-0.271 (0.969)";"0.006 (1.002)";""
"58";"&nbsp;&nbsp;&nbsp;Range";"-2.393 - 2.730";"-2.408 - 2.230";"-2.333 - 2.730";"-2.633 - 1.987";"-2.643 - 2.471";"-2.643 - 2.730";""
