"";"Var.1";"X1..N.448.";"X2..N.141.";"X3..N.334.";"X4..N.27.";"X5..N.38.";"X6..N.31.";"X7..N.16.";"Total..N.1035.";"p.value"
"44";"&nbsp;&nbsp;&nbsp;";"1 (0.2%)";"0 (0.0%)";"1 (0.3%)";"0 (0.0%)";"0 (0.0%)";"0 (0.0%)";"0 (0.0%)";"2 (0.2%)";""
"45";"&nbsp;&nbsp;&nbsp;female";"290 (64.7%)";"64 (45.4%)";"175 (52.4%)";"17 (63.0%)";"20 (52.6%)";"15 (48.4%)";"2 (12.5%)";"583 (56.3%)";""
"46";"&nbsp;&nbsp;&nbsp;male";"157 (35.0%)";"77 (54.6%)";"158 (47.3%)";"10 (37.0%)";"18 (47.4%)";"16 (51.6%)";"14 (87.5%)";"450 (43.5%)";""
"47";"**pared_d3**";"";"";"";"";"";"";"";"";"0.345"
"48";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.489 (0.500)";"0.518 (0.501)";"0.557 (0.497)";"0.407 (0.501)";"0.605 (0.495)";"0.516 (0.508)";"0.625 (0.500)";"0.520 (0.500)";""
"49";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";""
"50";"**age**";"";"";"";"";"";"";"";"";"0.622"
"51";"&nbsp;&nbsp;&nbsp;Mean (SD)";"201.886 (13.441)";"203.270 (12.700)";"201.728 (13.676)";"201.074 (15.514)";"203.237 (14.382)";"206.000 (14.677)";"201.562 (13.231)";"202.170 (13.535)";""
"52";"&nbsp;&nbsp;&nbsp;Range";"174.000 - 247.000";"178.000 - 240.000";"174.000 - 239.000";"179.000 - 241.000";"181.000 - 231.000";"179.000 - 232.000";"182.000 - 225.000";"174.000 - 247.000";""
"53";"**math**";"";"";"";"";"";"";"";"";"< 0.001"
"54";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.257 (0.877)";"0.147 (1.039)";"0.203 (1.030)";"-0.172 (1.262)";"0.117 (0.891)";"0.567 (1.090)";"0.659 (0.952)";"0.001 (1.000)";""
"55";"&nbsp;&nbsp;&nbsp;Range";"-2.490 - 2.183";"-1.945 - 2.408";"-2.437 - 2.903";"-1.933 - 2.880";"-1.449 - 1.987";"-1.639 - 2.273";"-0.719 - 2.181";"-2.490 - 2.903";""
"56";"**read**";"";"";"";"";"";"";"";"";"< 0.001"
"57";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.194 (1.002)";"0.033 (0.994)";"0.174 (0.952)";"-0.115 (1.022)";"0.143 (1.030)";"0.574 (0.954)";"0.625 (0.831)";"0.006 (1.002)";""
"58";"&nbsp;&nbsp;&nbsp;Range";"-2.643 - 2.471";"-2.393 - 2.730";"-2.322 - 2.730";"-1.695 - 1.825";"-2.633 - 1.638";"-2.105 - 2.023";"-1.164 - 1.848";"-2.643 - 2.730";""
